"roomid","timestr","dtype","category","tag","current"
"东陈集机房","2024-07-20-11","HOUR","POINT","F","21.9447"
"东陈集机房","2024-07-20-11","HOUR","POINT","G","0"
"东陈集机房","2024-07-20-11","HOUR","VECTOR","BUSINESS","1.1522"
"东陈集机房","2024-07-20-11","HOUR","VECTOR","DEVICE","21.9447"
"东陈集机房","2024-07-20-11","HOUR","VECTOR","LEASE","0"
"东陈集机房","2024-07-20-11","HOUR","VECTOR","OFFICE","0"
"东陈集机房","2024-07-20-11","HOUR","VECTOR","PRODUCT","32.5332"
"东陈集机房","2024-07-20-11","HOUR","VECTOR","PUE","1.48251"
"东陈集机房","2024-07-20-11","HOUR","VECTOR","TOTAL","33.6854"
"东陈集机房","2024-07-20-12","HOUR","POINT","A","33.0353"
"东陈集机房","2024-07-20-12","HOUR","POINT","B","31.8539"
"东陈集机房","2024-07-20-12","HOUR","POINT","F","21.6593"
"东陈集机房","2024-07-20-12","HOUR","POINT","G","0"
"东陈集机房","2024-07-20-12","HOUR","VECTOR","BUSINESS","1.18136"
"东陈集机房","2024-07-20-12","HOUR","VECTOR","DEVICE","21.6593"
"东陈集机房","2024-07-20-12","HOUR","VECTOR","LEASE","0"
"东陈集机房","2024-07-20-12","HOUR","VECTOR","OFFICE","0"
"东陈集机房","2024-07-20-12","HOUR","VECTOR","PRODUCT","31.8539"
"东陈集机房","2024-07-20-12","HOUR","VECTOR","PUE","1.47068"
"东陈集机房","2024-07-20-12","HOUR","VECTOR","TOTAL","33.0353"
"东陈集机房","2024-07-20-13","HOUR","POINT","A","33.3464"
"东陈集机房","2024-07-20-13","HOUR","POINT","B","32.198"
"东陈集机房","2024-07-20-13","HOUR","POINT","F","21.4495"
"东陈集机房","2024-07-20-13","HOUR","POINT","G","0"
"东陈集机房","2024-07-20-13","HOUR","VECTOR","BUSINESS","1.14847"
"东陈集机房","2024-07-20-13","HOUR","VECTOR","DEVICE","21.4495"
"东陈集机房","2024-07-20-13","HOUR","VECTOR","LEASE","0"
"东陈集机房","2024-07-20-13","HOUR","VECTOR","OFFICE","0"
"东陈集机房","2024-07-20-13","HOUR","VECTOR","PRODUCT","32.198"
"东陈集机房","2024-07-20-13","HOUR","VECTOR","PUE","1.50111"
"东陈集机房","2024-07-20-13","HOUR","VECTOR","TOTAL","33.3464"
"东陈集机房","2024-07-20-14","HOUR","POINT","A","38.1251"
"东陈集机房","2024-07-20-14","HOUR","POINT","B","33.1142"
"东陈集机房","2024-07-20-14","HOUR","POINT","F","21.6071"
"东陈集机房","2024-07-20-14","HOUR","POINT","G","0"
